Name,Material,Length,Width
A,Kiaat(AB)-25mm,2100,193
B,Kiaat(AB)-25mm,2100,150
C,Kiaat(AB)-25mm,2100,143
D,Kiaat(AB)-25mm,2100,170
E,Kiaat(AB)-25mm,2100,210
F,Kiaat(AB)-25mm,2100,210
G,Kiaat(AB)-25mm,2100,135
H,Kiaat(AB)-25mm,2100,223
